"Pdl","ItmSKU","PartNo","LstNo","Brand","Onhand","ohDays","Cost","Owner","PhoneExt","Branch","Consign","agedQ365","B.agedQ365 * A.cost"
"SP E","SP-H21WH","","98553","IMICRO","2","500","84.0000","LILLZ","359","","Y","2","168.0000"
"SP E","SP-FC10WH","","98557","IMICRO","2","500","39.0000","LILLZ","359","","Y","2","78.0000"
"SP E","SP-FC20WH","","98559","IMICRO","1","500","43.0000","LILLZ","359","","Y","1","43.0000"
"SP E","SP-FC20BK","","98558","IMICRO","1","500","43.0000","LILLZ","359","","Y","1","43.0000"
"SP E","SP-MD312BK","","98564","IMICRO","1","500","32.5000","LILLZ","359","","Y","1","32.5000"
"SP E","SP-MD220BK","","98568","IMICRO","47","500","13.0000","LILLZ","359","","Y","16","208.0000"
"SP E","SP-MD220RE","","98569","IMICRO","29","500","13.0000","LILLZ","359","","Y","29","377.0000"
"SP E","SP-M100BK","","98577","IMICRO","52","500","14.8479","LILLZ","359","","Y","50","742.3950"
"SP E","SP-B70BK","","98578","IMICRO","14","500","21.3000","LILLZ","359","","Y","14","298.2000"
"SP E","SP-H21WH","","98553","IMICRO","120","500","84.0000","LILLZ","359","","Y","120","10080.0000"
"SP E","SP-FC10WH","","98557","IMICRO","216","500","39.0000","LILLZ","359","","Y","121","4719.0000"
"SP","SP-FC20BK","","98558","IMICRO","100","500","43.0000","LILLZ","359","","Y","100","4300.0000"
"SP","SP-FC20WH","","98559","IMICRO","81","500","43.0000","LILLZ","359","","Y","81","3483.0000"
"SP","SP-FC50WH","","98563","IMICRO","199","500","67.0000","LILLZ","359","","Y","199","13333.0000"
"SP E","SP-MD312BK","","98564","IMICRO","3","500","32.5000","LILLZ","359","","Y","3","97.5000"
"SP E","SP-MD312WH","","98567","IMICRO","4","500","32.5000","LILLZ","359","","Y","1","32.5000"
"SP E","SP-MD220BK","","98568","IMICRO","506","500","13.0000","LILLZ","359","","Y","469","6097.0000"
"SP E","SP-MD220RE","","98569","IMICRO","739","500","13.0000","LILLZ","359","","Y","710","9230.0000"
"SP E","SP-B70BK","","98578","IMICRO","881","500","21.3000","LILLZ","359","","Y","881","18765.3000"
"SP","SP-FC50BK","","98562","IMICRO","127","500","67.0000","LILLZ","359","","Y","127","8509.0000"
"SP E","SP-M100BK","","98577","IMICRO","801","500","14.8479","LILLZ","359","","Y","801","11893.1679"
"SP E","SP-H21RD","","98552","IMICRO","11","500","84.0000","LILLZ","359","","Y","11","924.0000"
"SP E","SP-MD220WH","","98570","IMICRO","20","500","13.0000","LILLZ","359","","Y","20","260.0000"
"SP E","SP-MD220WH","","98570","IMICRO","725","500","13.0000","LILLZ","359","","Y","694","9022.0000"
"SP E","SP-M850BK","","98581","IMICRO","656","500","28.4362","LILLZ","359","","Y","655","18625.7110"
"SP E","SP-FC50BK","","98562","IMICRO","1","500","67.0000","LILLZ","359","","Y","1","67.0000"
"MOSE","MO-E220BK","","98689","IMICRO","240","500","6.5000","LILLZ","359","","Y","240","1560.0000"
"MOSE","MO-C190BK","","98679","IMICRO","439","393","5.2000","LILLZ","359","","Y","439","2282.8000"
"MOSE","MO-C190BLU","","98680","IMICRO","162","393","5.2000","LILLZ","359","","Y","162","842.4000"
"MOSE","MO-C190BK","","98679","IMICRO","28","393","5.2000","LILLZ","359","","Y","28","145.6000"
"MOSE","MO-C190BLU","","98680","IMICRO","46","415","5.2000","LILLZ","359","","Y","46","239.2000"
"MOSE","MO-E220BK","","98689","IMICRO","14","500","6.5000","LILLZ","359","","Y","14","91.0000"
"MOSE","MO-E220BLU","","98690","IMICRO","1","500","6.5000","LILLZ","359","","Y","1","6.5000"
"MOSE","MO-A50BK","","98667","IMICRO","29","415","29.8000","LILLZ","359","","Y","29","864.2000"
"MOSE","MO-A50BK","","98667","IMICRO","9","415","29.8000","LILLZ","359","","Y","9","268.2000"
"MOSE","MO-C200GR","","98682","IMICRO","7","500","5.3000","LILLZ","359","","Y","7","37.1000"
"MOSE","MO-C200GR","","98682","IMICRO","4","500","5.3000","LILLZ","359","","Y","4","21.2000"
"MOSE","MO-C200IGR","","98683","IMICRO","1523","500","5.3000","LILLZ","359","","Y","1523","8071.9000"
"MOSE","MO-C200IGR","","98683","IMICRO","78","500","5.3000","LILLZ","359","","Y","78","413.4000"
"MOSE","MO-E200SIL","","98687","IMICRO","73","500","5.7000","LILLZ","359","","Y","73","416.1000"
"MOSE","MO-E200SIL","","98687","IMICRO","36","500","5.7000","LILLZ","359","","Y","36","205.2000"
"MOSE","MO-E220W","","98693","IMICRO","77","500","6.5000","LILLZ","359","","Y","77","500.5000"
"MOSE","MO-E220W","","98693","IMICRO","5","500","6.5000","LILLZ","359","","Y","5","32.5000"
"MOSE","MO-E220GR","","98691","IMICRO","5","500","6.5000","LILLZ","359","","Y","5","32.5000"
"MOSE","MO-E220GR","","98691","IMICRO","1","500","6.5000","LILLZ","359","","Y","1","6.5000"
"SP E","SP-M102BK","","98572","IMICRO","20","500","9.3500","LILLZ","359","","Y","20","187.0000"
"SP E","SP-M102BK","","98572","IMICRO","93","500","9.3500","LILLZ","359","","Y","93","869.5500"
"SP E","SP-M102WH","","98575","IMICRO","90","500","9.3500","LILLZ","359","","Y","90","841.5000"
"SP E","SP-M102WH","","98575","IMICRO","25","500","9.3500","LILLZ","359","","Y","25","233.7500"
"SP E","SP-M102YW","","98576","IMICRO","27","500","9.3500","LILLZ","359","","Y","27","252.4500"
"SP E","SP-M102YW","","98576","IMICRO","98","500","9.3500","LILLZ","359","","Y","98","916.3000"
"SP E","SP-M102BL","","98573","IMICRO","108","500","9.3500","LILLZ","359","","Y","108","1009.8000"
"SP E","SP-M102BL","","98573","IMICRO","32","500","9.3500","LILLZ","359","","Y","32","299.2000"
"SP E","SP-H21WH","","98553","IMICRO","1","500","84.0000","LILLZ","359","","Y","1","84.0000"
"SP E","SP-H21WH","","98553","IMICRO","2","500","84.0000","LILLZ","359","","Y","2","168.0000"
"SP E","SP-H21WH","","98553","IMICRO","2","500","84.0000","LILLZ","359","","Y","2","168.0000"
"SP E","SP-H21WH","","98553","IMICRO","1","500","84.0000","LILLZ","359","","Y","1","84.0000"
"SP E","SP-FC10BK","","98554","IMICRO","2","500","39.0000","LILLZ","359","","Y","2","78.0000"
"SP E","SP-FC10BL","","98555","IMICRO","1","500","39.0000","LILLZ","359","","Y","1","39.0000"
"SP E","SP-FC10BL","","98555","IMICRO","2","500","39.0000","LILLZ","359","","Y","2","78.0000"
"SP E","SP-FC10BL","","98555","IMICRO","1","500","39.0000","LILLZ","359","","Y","1","39.0000"
"SP E","SP-FC10PI","","98556","IMICRO","2","500","39.0000","LILLZ","359","","Y","2","78.0000"
"SP E","SP-FC10PI","","98556","IMICRO","2","500","39.0000","LILLZ","359","","Y","2","78.0000"
"SP E","SP-FC10PI","","98556","IMICRO","2","500","39.0000","LILLZ","359","","Y","2","78.0000"
"SP E","SP-FC10WH","","98557","IMICRO","2","500","39.0000","LILLZ","359","","Y","2","78.0000"
"SP E","SP-FC10WH","","98557","IMICRO","5","500","39.0000","LILLZ","359","","Y","5","195.0000"
"SP E","SP-FC10WH","","98557","IMICRO","2","500","39.0000","LILLZ","359","","Y","2","78.0000"
"SP","SP-FC20BK","","98558","IMICRO","5","500","43.0000","LILLZ","359","","Y","5","215.0000"
"SP","SP-FC20BK","","98558","IMICRO","3","500","43.0000","LILLZ","359","","Y","3","129.0000"
"SP","SP-FC20BK","","98558","IMICRO","4","500","43.0000","LILLZ","359","","Y","4","172.0000"
"SP","SP-FC20BK","","98558","IMICRO","4","500","43.0000","LILLZ","359","","Y","3","129.0000"
"SP","SP-FC50BK","","98562","IMICRO","2","500","67.0000","LILLZ","359","","Y","2","134.0000"
"SP","SP-FC50BK","","98562","IMICRO","3","500","67.0000","LILLZ","359","","Y","3","201.0000"
"SP","SP-FC50BK","","98562","IMICRO","3","500","67.0000","LILLZ","359","","Y","3","201.0000"
"SP","SP-FC50BK","","98562","IMICRO","4","500","67.0000","LILLZ","359","","Y","4","268.0000"
"SP","SP-FC50WH","","98563","IMICRO","1","500","67.0000","LILLZ","359","","Y","1","67.0000"
"SP","SP-FC50WH","","98563","IMICRO","2","500","67.0000","LILLZ","359","","Y","2","134.0000"
"SP","SP-FC50WH","","98563","IMICRO","2","500","67.0000","LILLZ","359","","Y","2","134.0000"
"SP E","SP-MD220BK","","98568","IMICRO","3","500","13.0000","LILLZ","359","","Y","3","39.0000"
"SP E","SP-MD220BK","","98568","IMICRO","3","500","13.0000","LILLZ","359","","Y","3","39.0000"
"SP E","SP-MD220RE","","98569","IMICRO","3","500","13.0000","LILLZ","359","","Y","3","39.0000"
"SP E","SP-MD220RE","","98569","IMICRO","1","500","13.0000","LILLZ","359","","Y","1","13.0000"
